Tarikh,Hari,Masuk,Keluar,Tandatangan,Catatan
01-04-2024,Isnin,,,,
02-04-2024,Selasa,,,,
03-04-2024,Rabu,,,,
04-04-2024,Khamis,,,,
07-04-2024,Ahad,,,,
08-04-2024,Isnin,,,,
09-04-2024,Selasa,,,,
10-04-2024,Rabu,,,,
11-04-2024,Khamis,,,,
14-04-2024,Ahad,,,,
15-04-2024,Isnin,,17:01,,
16-04-2024,Selasa,,,,
17-04-2024,Rabu,07:49,10:06,,
18-04-2024,Khamis,,,,
21-04-2024,Ahad,,,,
22-04-2024,Isnin,,,,
23-04-2024,Selasa,,,,
24-04-2024,Rabu,,,,
25-04-2024,Khamis,,,,
28-04-2024,Ahad,,,,
29-04-2024,Isnin,,,,
30-04-2024,Selasa,,,,
